header,category,location,title,description,website_url,image_url,youtube_url
나의,경기,동두천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_010/005_009_010.md,./img/cards_webp/region_webp/center_233_20220127110731_LV.webp,https://youtu.be/vBrvUHxLHfI
나의,경기,부천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_011/005_009_011.md,./img/cards_webp/region_webp/center_220_20220126093349_87.webp,https://youtu.be/WNnNAhx2q2s
나의,경기,성남,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_012/005_009_012.md,./img/cards_webp/region_webp/center_196_20220127113054_5E.webp,https://youtu.be/1bkorwk-obw
나의,경기,수원,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_013/005_009_013.md,./img/cards_webp/region_webp/center_179_20220204113817_RB.webp,https://youtu.be/Tn-D0m_vx5A
나의,경기,시흥,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_014/005_009_014.md,./img/cards_webp/region_webp/center_231_20220127110452_M9.webp,https://youtu.be/XNVPprKzwgE
나의,경기,안산,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_015/005_009_015.md,./img/cards_webp/region_webp/center_230_20220127110330_QX.webp,https://youtu.be/f98trE_Pn_o
나의,경기,안성,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_016/005_009_016.md,./img/cards_webp/region_webp/center_182_20220125110838_ZJ.webp,https://youtu.be/Yva_8Sl2ATM
나의,경기,안양,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_017/005_009_017.md,./img/cards_webp/region_webp/center_227_20220127131838_ZL.webp,https://youtu.be/Vxd0zWDydq0
나의,경기,양주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_018/005_009_018.md,./img/cards_webp/region_webp/center_224_20220126093720_UA.webp,https://youtu.be/OtDYsuM49C0
나의,경기,양평,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_019/005_009_019.md,./img/cards_webp/region_webp/center_198_20220124095635_PH.webp,https://youtu.be/8_Jv2qknh7E
나의,경기,여주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_020/005_009_020.md,./img/cards_webp/region_webp/center_191_20220124095319_34.webp,https://youtu.be/JpLquX20FYo
나의,경기,연천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_021/005_009_021.md,./img/cards_webp/region_webp/center_232_20220128132743_DP.webp,https://youtu.be/yq3CtwJa7eM
나의,경기,오산,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_022/005_009_022.md,./img/cards_webp/region_webp/center_180_20220124100013_SS.webp,https://youtu.be/XLZIuPp_G6w
나의,경기,용인,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_023/005_009_023.md,./img/cards_webp/region_webp/center_195_20220124095243_H9.webp,https://youtu.be/LQKT8Klfaw0
나의,경기,의왕,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_024/005_009_024.md,./img/cards_webp/region_webp/center_184_20220123161915_JQ.webp,https://youtu.be/UYnDmB1qrxM
나의,경기,의정부,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_025/005_009_025.md,./img/cards_webp/region_webp/center_212_20220125100304_LL.webp,https://youtu.be/szrFdM15Tl8
나의,경기,이천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_026/005_009_026.md,./img/cards_webp/region_webp/center_197_20220124141320_JE.webp,https://youtu.be/1w1CoZhbYw8
나의,경기,파주,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_027/005_009_027.md,./img/cards_webp/region_webp/center_222_20220126162849_CE.webp,https://youtu.be/JMtOcXo9ITw
나의,경기,평택,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_028/005_009_028.md,./img/cards_webp/region_webp/center_181_20220124100053_AB.webp,https://youtu.be/Pj2E1eUtb7s
나의,경기,포천,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_029/005_009_029.md,./img/cards_webp/region_webp/center_205_20220125095715_5X.webp,https://youtu.be/BrhtDW9pX6g
나의,경기,하남,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_030/005_009_030.md,./img/cards_webp/region_webp/center_208_20220125100049_CT.webp,https://youtu.be/kVrUksGkolM
나의,경기,화성,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_009/005_009_031/005_009_031.md,./img/cards_webp/region_webp/center_183_20220124141402_4E.webp,https://youtu.be/GlDwBOzYyDA
나의,강원,강원도,,"평화시대 선도, 디지털･그린 뉴딜, 평화관광의 메카",https://github.com/p4u-jm/jm-2022-pledges/blob/main/theminjoo_board/725385/725385.md,./img/cards_webp/region_webp/center_323_20220208132142_6Y.webp,https://youtu.be/RnjB-6EnOeI
나의,강원,강릉,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_001/005_010_001.md,./img/cards_webp/region_webp/center_459_20220214131040_A3.webp,https://youtu.be/zCgnZd6X7bw
나의,강원,고성,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_002/005_010_002.md,./img/cards_webp/region_webp/center_461_20220214131436_CT.webp,https://youtu.be/1GFZuRlc0xY
나의,강원,동해,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_003/005_010_003.md,./img/cards_webp/region_webp/center_473_20220214134549_N3.webp,https://youtu.be/SmBOtbJ7XFQ
나의,강원,삼척,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_004/005_010_004.md,./img/cards_webp/region_webp/center_460_20220214131148_45.webp,https://youtu.be/cLkKc412Us4
나의,강원,속초,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_005/005_010_005.md,./img/cards_webp/region_webp/center_458_20220214130902_FK.webp,https://youtu.be/OFaJ-RkVlnI
나의,강원,양구,,,https://github.com/p4u-jm/jm-2022-pledges/blob/main/jmleetogether/005/005_010/005_010_006/005_010_006.md,./img/cards_webp/region_webp/center_462_20220214132625_3C.webp,https://youtu.be/Av7IOVWIJEs
