header,category,location,title,description,website_url,image_name,youtube_url
나와,학업,,졸업성적 우수 저소득층 학생 학자금대출금 탕감,,https://theminjoo.kr/board/view/electionpromises/707171,,
나와,학업,,생활비 대출 한도액 연 5백만원까지 확대,,https://theminjoo.kr/board/view/electionpromises/707171,,
나와,학업,,국민내일배움카드 1천만원까지 2배 확대,,https://theminjoo.kr/board/view/electionpromises/705817,,
나와,학업,,대입정시비율 조정,,https://theminjoo.kr/board/view/electionpromises/721282,https://www.jmleetogether.com/uploads/center/center_246_20220131164439_7W.png,
나와,학업,,1인 1예술교육 받는 통합문화이용권,,https://theminjoo.kr/board/view/electionpromises/728483,,
나와,학업,,사시부활,,https://www.jmleetogether.com/web/center_view.php?code=246,https://www.jmleetogether.com/uploads/center/center_246_20220131164439_7W.png,
나와,환경,,일회용품·포장재 재질단일화,,https://theminjoo.kr/board/view/electionpromises/706554,,https://youtu.be/2yHmf5Zkgc0
나와,환경,,무라벨제품 지원 확대,,https://theminjoo.kr/board/view/electionpromises/706554,,
나와,환경,,다회용기 보급,,https://theminjoo.kr/board/view/electionpromises/706554,,
나와,환경,,환경자판기 보급 확대 및 혜택제공,,https://theminjoo.kr/board/view/electionpromises/706554,,
나와,환경,,공공선별장 확충 및 시설현대화,,https://theminjoo.kr/board/view/electionpromises/706554,,
나와,환경,,생활용품 소비자 수리권 확대,,https://theminjoo.kr/board/view/electionpromises/721278,,
나와,환경,,노후 건설장비 무공해 전환 추진,,https://theminjoo.kr/board/view/electionpromises/717946,,
나와,환경,,영세사업장 배출저감 지원,,https://theminjoo.kr/board/view/electionpromises/717946,,
나와,환경,,"한중, 아태다자간 대기질 협력 노력",,https://theminjoo.kr/board/view/electionpromises/717946,,
나의,휴식,,아플 때 생계비 지원 (상병수당),,https://theminjoo.kr/board/view/electionpromises/705070,https://www.jmleetogether.com/uploads/center/center_117_20220114164254_PY.jpg,
나의,휴식,,일+휴식+관광 연계 워케이션 센터 설치,워케이션 센터 이용자에 지역상품권 할인지원<br />워케이션 센터 이용기업에 근로자휴가지원비 추가지원,https://theminjoo.kr/board/view/electionpromises/713893,https://www.jmleetogether.com/uploads/center/center_148_20220114171734_TR.png,
나의,휴식,,오토바이 소음 단속기준 강화,,https://theminjoo.kr/board/view/electionpromises/699795,https://www.jmleetogether.com/uploads/center/center_102_20220114162433_X5.jpg,https://youtu.be/AGDr7hodijk
나와,우리 지역 ,서울,글로벌 경제·문화 수도,,https://www.jmleetogether.com/web/center_view.php?code=94,https://www.jmleetogether.com/uploads/center/center_168_20220121191011_SD.png,
나와,우리 지역 ,경기,"한반도 평화경제의 중심, 첨단산업과 반도체 허브",,https://www.jmleetogether.com/web/center_view.php?code=93,https://www.jmleetogether.com/uploads/center/center_201_20220124151459_T9.png,https://youtu.be/R5bYWvjrSV0
나와,우리 지역 ,인천,경제의 재도약!,,https://www.jmleetogether.com/web/center_view.php?code=92,https://www.jmleetogether.com/uploads/center/center_92_20220117085143_SD.jpg,
나와,우리 지역 ,충청권,행정수도 완성과 국가균형발전을 선도,,https://www.jmleetogether.com/web/center_view.php?code=89,https://www.jmleetogether.com/uploads/center/center_89_20220113185955_J8.jpg,
나와,우리 지역 ,강원,"평화시대 선도, 디지털･그린 뉴딜, 평화관광의 메카",,https://www.jmleetogether.com/web/center_view.php?code=90,https://www.jmleetogether.com/uploads/center/center_90_20220113190535_GY.jpg,
나와,우리 지역 ,대구·경북,신산업 육성·미래먹거리 발굴·새로운 내륙교통의 요충지,,https://www.jmleetogether.com/web/center_view.php?code=83,https://www.jmleetogether.com/uploads/center/center_83_20220113180237_4D.jpg,
나와,우리 지역 ,부울경,메가시티! ,,https://www.jmleetogether.com/web/center_view.php?code=77,https://www.jmleetogether.com/uploads/center/center_77_20220113170351_4J.jpg,
나와,우리 지역 ,전북,"지역경제 부활, 그린뉴딜의 중심",,https://www.jmleetogether.com/web/center_view.php?code=88,https://www.jmleetogether.com/uploads/center/center_88_20220113184957_AP.jpg,
나와,우리 지역 ,광주·전남,전환적 성장과 4차 산업혁명의 주역,,https://www.jmleetogether.com/web/center_view.php?code=87,https://www.jmleetogether.com/uploads/center/center_87_20220113183703_MR.jpg,https://youtu.be/GphW7NfrUb4
나와,우리 지역 ,제주,"평화 ․ 치유 ․ 청정환경의 중심지, 자치분권의 선도모델",,https://www.jmleetogether.com/web/center_view.php?code=91,https://www.jmleetogether.com/uploads/center/center_91_20220113190625_9Z.jpg,
